[2026-06-16 15:47:28] Starting subprocess-based zero-downtime proof simulator with client failover retry...
[2026-06-16 15:47:28] Detected max keys for reads: 1000
[2026-06-16 15:47:28] Entering main simulation loop. Press Ctrl+C to stop.
[2026-06-16 15:54:13] Progress: Ops=13400 | Reads=6700 (Fails=0) | Writes=6700 (Fails=0) | Success Rate=100.00% | Elapsed=404.9s
[2026-06-16 15:54:19] Progress: Ops=13600 | Reads=6800 (Fails=0) | Writes=6800 (Fails=0) | Success Rate=100.00% | Elapsed=410.8s
[2026-06-16 15:54:25] Progress: Ops=13800 | Reads=6900 (Fails=0) | Writes=6900 (Fails=0) | Success Rate=100.00% | Elapsed=416.8s
[2026-06-16 15:54:30] Progress: Ops=14000 | Reads=7000 (Fails=0) | Writes=7000 (Fails=0) | Success Rate=100.00% | Elapsed=422.7s
[2026-06-16 15:54:36] Progress: Ops=14200 | Reads=7100 (Fails=0) | Writes=7100 (Fails=0) | Success Rate=100.00% | Elapsed=428.6s
[2026-06-16 15:54:42] Progress: Ops=14400 | Reads=7200 (Fails=0) | Writes=7200 (Fails=0) | Success Rate=100.00% | Elapsed=434.5s
[2026-06-16 15:54:48] Progress: Ops=14600 | Reads=7300 (Fails=0) | Writes=7300 (Fails=0) | Success Rate=100.00% | Elapsed=440.5s
[2026-06-16 15:54:54] Progress: Ops=14800 | Reads=7400 (Fails=0) | Writes=7400 (Fails=0) | Success Rate=100.00% | Elapsed=446.5s
[2026-06-16 15:55:00] Progress: Ops=15000 | Reads=7500 (Fails=0) | Writes=7500 (Fails=0) | Success Rate=100.00% | Elapsed=452.6s
[2026-06-16 15:55:06] Progress: Ops=15200 | Reads=7600 (Fails=0) | Writes=7600 (Fails=0) | Success Rate=100.00% | Elapsed=458.5s
[2026-06-16 15:55:12] Progress: Ops=15400 | Reads=7700 (Fails=0) | Writes=7700 (Fails=0) | Success Rate=100.00% | Elapsed=464.4s
[2026-06-16 15:55:18] Progress: Ops=15600 | Reads=7800 (Fails=0) | Writes=7800 (Fails=0) | Success Rate=100.00% | Elapsed=470.4s
[2026-06-16 15:55:24] Progress: Ops=15800 | Reads=7900 (Fails=0) | Writes=7900 (Fails=0) | Success Rate=100.00% | Elapsed=476.3s
